"CODIGOCLIENTE","EMPRESA","DIRECCION","POBLACION","TELEFONO","RESPONSABLE"
CT02,LA MODERNA,LA PALOMA 123,OVIEDO,(985) 32 34 34,JUAN GARCIA
CT03,EL ESPAÑOLITO,MOTORES 34,BARCELONA,(934) 56 53 43,ANA FERNANDEZ
CT06,CONFECCIONES AMPARO,LOS MOROS 23,GIJON,(985) 75 43 32,LUIS ALVAREZ 
CT08,JUGUETERIA SUAREZ,PARIS 123,BARCELONA,(933) 45 78 66,JUAN GARCIA
CT09,ALMACEN POPULAR,LAS FUENTES 124,BILBAO,(942) 34 71 27,JOSE ALVAREZ
CT11,JUGUETES MARTINEZ,VIA LAYETANA 245,BARCELONA,(936) 62 85 54,FRANCISCO CUEVAS
CT12,FERNANDEZ SL,PASEO DEL MAR 45,SANTANDER,(942) 04 95 86,ELISA COLLADO
CT13,CONFECCIONES ARTIMEZ,GENERAL PERON 45,A CORUÑA,(981) 34 52 39,ESTEBAN PASCUAL
CT15,EXCLUSIVAS FERNANDEZ,LLOBREGAT 250,BARCELONA,(939) 55 83 65,LUISA FERNANDEZ
CT16,DEPORTES MORAN,AUTONOMIA 45,LUGO,(982) 98 69 44,JOSE MANZANO
CT17,BAZAR FRANCISCO,CARMEN 45,ZAMORA,(980) 49 52 88,CARLOS BELTRAN
CT18,JUGUETES LA SONRISA,LA BAÑEZA 67,LEON,(987) 94 53 68,FAUSTINO PEREZ
CT20,LA CURTIDORA,OLIVARES 3,MALAGA,(953) 75 62 59,MARIA GOMEZ
CT21,LINEA JOVEN,SIERPES 78,SEVILLA,(953) 45 25 67,ASUNCION SALADO
CT22,BAZAR EL BARAT,DIAGONAL 56,BARCELONA,(936) 69 28 66,ELISA DAPENA
CT24,SAEZ Y CIA,INFANTA MERCEDS 23,SEVILLA,(954) 86 92 34,MANUEL GUERRA
CT25,DEPORTES EL MADRILEÑO,CASTILLA 345,ZARAGOZA,(976) 38 89 34,CARLOS GONZALEZ
CT27,JUGUETES EL BARATO,VIA AUGUSTA 245,BARCELONA,(933) 48 69 84,ELVIRA IGLESIAS
CT28,CONFECCIONES HERMINIA,CORRIDA 345,GIJON,(985) 59 73 15,ABEL GONZALEZ
CT31,LA TIENDA ELEGANTE,EL COMENDADOR 67,ZARAGOZA,(975) 69 40 35,JOSE PASCUAL
CT32,DEPORTES NAUTICOS GARCIA,JUAN FERNANDEZ 89,AVILA,(920) 26 86 48,JUAN CONRADO
CT33,CONFECCIONES RUIZ,LLOBREGAT 345,BARCELONA,(934) 58 76 15,CARLOS SANZ
CT35,FERRETERIA EL MARTILLO,CASTELLANOS 205,SALAMANCA,(923) 54 89 65,JOAQUIN FERNANDEZ
CT37,ALMACENES FERNANDEZ,ANTON 67,TERUEL,(978) 56 40 25,MARIA ARDANZA
CT38,CONFECCIONES MONICA,MOTORES 67,BARCELONA,(935) 68 12 45,PEDRO SERRANO
CT40,DEPORTES EL BRASILEÑO,ABEL MARTINEZ 67,SALAMANCA,(921) 54 87 62,CARLOS GOMEZ
CT01,BELTRAN E HIJOS,,MADRID,(914) 45 64 35,
CT04,EXPORTASA,,MADRID,(913) 45 23 78,
CT07,LA CASA DEL JUGUETE,,MADRID,(912) 64 99 87,
CT10,FERETERIA EL CLAVO,,MADRID,(914) 35 48 66,
CT14,DEPORTES GARCIA,,MADRID,(913) 29 94 75,
CT19,CONFECCIONES GALAN,,MADRID,(913) 85 92 34,
CT23,EL PALACIO DE LA MODA,,MADRID,(927) 78 52 35,
CT26,FERRETERIA LA ESCOBA,,MADRID,(918) 45 93 46,
CT30,BAZAR EL ARGENTINO,,MADRID,(912) 49 59 73,
CT34,BAZAR LA FARAONA,,MADRID,(915) 48 36 27,
CT36,JUGUETES EDUCATIVOS SANZ,,MADRID,(916) 87 23 54,
CT39,FERRETERIA LIMA,,MADRID,(913) 53 27 85,
